hh_id,stratum,psu,listing_domain,region,urban,design_weight,list_seq
H00362,ST03,P06,D05,EAST,1,64.00000000,1
H00368,ST03,P06,D05,EAST,1,8.00000000,1
H00369,ST03,P05,D05,EAST,0,8.00000000,1
H00388,ST03,P06,D05,EAST,0,8.00000000,1
H00397,ST03,P05,D05,EAST,0,64.00000000,1
H00398,ST03,P06,D05,EAST,0,8.00000000,1
H00405,ST03,P05,D06,EAST,1,8.00000000,1
H00413,ST03,P05,D06,EAST,1,64.00000000,1
H00414,ST03,P06,D06,EAST,1,64.00000000,1
H00424,ST03,P06,D06,EAST,1,8.00000000,1
H00426,ST03,P06,D06,EAST,1,64.00000000,1
H00430,ST03,P06,D06,EAST,1,8.00000000,1
H00439,ST03,P05,D06,EAST,1,8.00000000,1
H00457,ST03,P05,D06,EAST,0,8.00000000,1
H00461,ST03,P05,D06,EAST,0,8.00000000,1
H00465,ST03,P05,D06,EAST,0,8.00000000,1
H00474,ST03,P06,D06,EAST,0,8.00000000,1
H00481,ST04,P07,D07,EAST,1,8.00000000,1
H00485,ST04,P07,D07,EAST,1,64.00000000,1
H00490,ST04,P08,D07,EAST,1,8.00000000,1
H00500,ST04,P08,D07,EAST,1,8.00000000,1
H00513,ST04,P07,D07,EAST,0,8.00000000,1
H00515,ST04,P07,D07,EAST,0,8.00000000,1
H00520,ST04,P08,D07,EAST,0,8.00000000,1
H00525,ST04,P07,D07,EAST,0,8.00000000,1
H00526,ST04,P08,D07,EAST,0,8.00000000,1
H00527,ST04,P07,D07,EAST,0,64.00000000,1
H00532,ST04,P08,D07,EAST,0,8.00000000,1
H00533,ST04,P07,D07,EAST,0,8.00000000,1
H00554,ST04,P08,D07,EAST,0,8.00000000,1
H00563,ST04,P07,D08,EAST,1,8.00000000,1
H00564,ST04,P08,D08,EAST,1,64.00000000,1
H00567,ST04,P07,D08,EAST,1,8.00000000,1
H00593,ST04,P07,D08,EAST,0,8.00000000,1
H00595,ST04,P07,D08,EAST,0,8.00000000,1
H00599,ST04,P07,D08,EAST,0,8.00000000,1
H00610,ST04,P08,D08,EAST,0,8.00000000,1
H00612,ST04,P08,D08,EAST,0,8.00000000,1
H00626,ST04,P08,D08,EAST,0,8.00000000,1
H00636,ST04,P08,D08,EAST,0,8.00000000,1
H00638,ST04,P08,D08,EAST,0,8.00000000,1
H00647,ST05,P09,D09,NORTH,1,8.00000000,1
H00648,ST05,P10,D09,NORTH,1,64.00000000,1
H00654,ST05,P10,D09,NORTH,1,8.00000000,1
H00659,ST05,P09,D09,NORTH,1,8.00000000,1
H00671,ST05,P09,D09,NORTH,0,8.00000000,1
H00677,ST05,P09,D09,NORTH,0,8.00000000,1
H00680,ST05,P10,D09,NORTH,0,8.00000000,1
H00690,ST05,P10,D09,NORTH,0,8.00000000,1
H00691,ST05,P09,D09,NORTH,0,8.00000000,1
H00695,ST05,P09,D09,NORTH,0,8.00000000,1
H00702,ST05,P10,D09,NORTH,0,8.00000000,1
H00709,ST05,P09,D09,NORTH,0,8.00000000,1
H00720,ST05,P10,D09,NORTH,0,8.00000000,1
H00723,ST05,P09,D10,NORTH,1,64.00000000,1
H00730,ST05,P10,D10,NORTH,1,8.00000000,1
H00741,ST05,P09,D10,NORTH,1,64.00000000,1
H00743,ST05,P09,D10,NORTH,1,8.00000000,1
H00748,ST05,P10,D10,NORTH,0,8.00000000,1
H00760,ST05,P10,D10,NORTH,0,8.00000000,1
H00763,ST05,P09,D10,NORTH,0,8.00000000,1
H00770,ST05,P10,D10,NORTH,0,8.00000000,1
H00784,ST05,P10,D10,NORTH,0,8.00000000,1
H00792,ST05,P10,D10,NORTH,0,8.00000000,1
H00795,ST05,P09,D10,NORTH,0,8.00000000,1
H00801,ST06,P11,D11,NORTH,1,8.00000000,1
H00806,ST06,P12,D11,NORTH,1,8.00000000,1
H00816,ST06,P12,D11,NORTH,1,8.00000000,1
H00825,ST06,P11,D11,NORTH,1,64.00000000,1
H00844,ST06,P12,D11,NORTH,0,8.00000000,1
H00847,ST06,P11,D11,NORTH,0,8.00000000,1
H00850,ST06,P12,D11,NORTH,0,8.00000000,1
H00854,ST06,P12,D11,NORTH,0,8.00000000,1
H00856,ST06,P12,D11,NORTH,0,8.00000000,1
H00859,ST06,P11,D11,NORTH,0,64.00000000,1
H00881,ST06,P11,D12,NORTH,1,64.00000000,1
H00890,ST06,P12,D12,NORTH,1,64.00000000,1
H00900,ST06,P12,D12,NORTH,1,64.00000000,1
H00903,ST06,P11,D12,NORTH,1,64.00000000,1
H00914,ST06,P12,D12,NORTH,1,64.00000000,1
H00918,ST06,P12,D12,NORTH,0,8.00000000,1
H00919,ST06,P11,D12,NORTH,0,64.00000000,1
H00925,ST06,P11,D12,NORTH,0,8.00000000,1
H00931,ST06,P11,D12,NORTH,0,8.00000000,1
H00935,ST06,P11,D12,NORTH,0,8.00000000,1
H00940,ST06,P12,D12,NORTH,0,8.00000000,1
H00949,ST06,P11,D12,NORTH,0,8.00000000,1
H00957,ST06,P11,D12,NORTH,0,8.00000000,1
H00960,ST06,P12,D12,NORTH,0,8.00000000,1
H00967,ST07,P13,D13,NORTH,1,8.00000000,1
H00974,ST07,P14,D13,NORTH,1,8.00000000,1
H00977,ST07,P13,D13,NORTH,1,8.00000000,1
H00980,ST07,P14,D13,NORTH,1,8.00000000,1
H00990,ST07,P14,D13,NORTH,1,64.00000000,1
H00992,ST07,P14,D13,NORTH,1,64.00000000,1
H00993,ST07,P13,D13,NORTH,1,64.00000000,1
H01002,ST07,P14,D13,NORTH,1,64.00000000,1
H01005,ST07,P13,D13,NORTH,1,8.00000000,1
H01012,ST07,P14,D13,NORTH,0,8.00000000,1
H01017,ST07,P13,D13,NORTH,0,8.00000000,1
H01018,ST07,P14,D13,NORTH,0,8.00000000,1
H01038,ST07,P14,D13,NORTH,0,8.00000000,1
H01039,ST07,P13,D13,NORTH,0,8.00000000,1
H01041,ST07,P13,D14,NORTH,1,8.00000000,1
H01054,ST07,P14,D14,NORTH,1,64.00000000,1
H01059,ST07,P13,D14,NORTH,1,8.00000000,1
H01060,ST07,P14,D14,NORTH,1,64.00000000,1
H01063,ST07,P13,D14,NORTH,1,64.00000000,1
H01087,ST07,P13,D14,NORTH,1,8.00000000,1
H01095,ST07,P13,D14,NORTH,0,8.00000000,1
H01103,ST07,P13,D14,NORTH,0,8.00000000,1
H01112,ST07,P14,D14,NORTH,0,8.00000000,1
H01118,ST07,P14,D14,NORTH,0,8.00000000,1
H01121,ST08,P15,D15,NORTH,1,64.00000000,1
H01127,ST08,P15,D15,NORTH,1,8.00000000,1
H01128,ST08,P16,D15,NORTH,1,8.00000000,1
H01131,ST08,P15,D15,NORTH,1,8.00000000,1
H01132,ST08,P16,D15,NORTH,1,64.00000000,1
H01137,ST08,P15,D15,NORTH,1,8.00000000,1
H01138,ST08,P16,D15,NORTH,1,8.00000000,1
H01147,ST08,P15,D15,NORTH,0,64.00000000,1
H01158,ST08,P16,D15,NORTH,0,8.00000000,1
H01165,ST08,P15,D15,NORTH,0,8.00000000,1
H01174,ST08,P16,D15,NORTH,0,8.00000000,1
H01175,ST08,P15,D15,NORTH,0,8.00000000,1
H01184,ST08,P16,D15,NORTH,0,8.00000000,1
H01186,ST08,P16,D15,NORTH,0,8.00000000,1
H01206,ST08,P16,D16,NORTH,1,8.00000000,1
H01209,ST08,P15,D16,NORTH,1,8.00000000,1
H01210,ST08,P16,D16,NORTH,1,64.00000000,1
H01212,ST08,P16,D16,NORTH,1,8.00000000,1
H01217,ST08,P15,D16,NORTH,1,64.00000000,1
H01225,ST08,P15,D16,NORTH,0,8.00000000,1
H01234,ST08,P16,D16,NORTH,0,8.00000000,1
H01235,ST08,P15,D16,NORTH,0,8.00000000,1
H01260,ST08,P16,D16,NORTH,0,8.00000000,1
H01267,ST08,P15,D16,NORTH,0,8.00000000,1
H01283,ST09,P17,D17,SOUTH,1,8.00000000,1
H01284,ST09,P18,D17,SOUTH,1,8.00000000,1
H01292,ST09,P18,D17,SOUTH,1,8.00000000,1
H01294,ST09,P18,D17,SOUTH,1,8.00000000,1
H01300,ST09,P18,D17,SOUTH,1,8.00000000,1
H01301,ST09,P17,D17,SOUTH,1,64.00000000,1
H01327,ST09,P17,D17,SOUTH,0,8.00000000,1
H01340,ST09,P18,D17,SOUTH,0,8.00000000,1
H01344,ST09,P18,D17,SOUTH,0,8.00000000,1
H01347,ST09,P17,D17,SOUTH,0,8.00000000,1
H01348,ST09,P18,D17,SOUTH,0,8.00000000,1
H01355,ST09,P17,D17,SOUTH,0,8.00000000,1
H01360,ST09,P18,D17,SOUTH,0,8.00000000,1
H01364,ST09,P18,D18,SOUTH,1,64.00000000,1
H01365,ST09,P17,D18,SOUTH,1,64.00000000,1
H01377,ST09,P17,D18,SOUTH,1,64.00000000,1
H01380,ST09,P18,D18,SOUTH,1,64.00000000,1
H01385,ST09,P17,D18,SOUTH,0,8.00000000,1
H01397,ST09,P17,D18,SOUTH,0,8.00000000,1
H01405,ST09,P17,D18,SOUTH,0,8.00000000,1
H01415,ST09,P17,D18,SOUTH,0,8.00000000,1
H01429,ST09,P17,D18,SOUTH,0,8.00000000,1
H01434,ST09,P18,D18,SOUTH,0,8.00000000,1
H01438,ST09,P18,D18,SOUTH,0,8.00000000,1
H01441,ST10,P19,D19,SOUTH,1,8.00000000,1
H01447,ST10,P19,D19,SOUTH,1,8.00000000,1
H01454,ST10,P20,D19,SOUTH,1,64.00000000,1
H01457,ST10,P19,D19,SOUTH,1,8.00000000,1
H01463,ST10,P19,D19,SOUTH,1,64.00000000,1
H01470,ST10,P20,D19,SOUTH,1,8.00000000,1
H01486,ST10,P20,D19,SOUTH,0,8.00000000,1
H01490,ST10,P20,D19,SOUTH,0,8.00000000,1
H01494,ST10,P20,D19,SOUTH,0,8.00000000,1
H01502,ST10,P20,D19,SOUTH,0,64.00000000,1
H01503,ST10,P19,D19,SOUTH,0,8.00000000,1
H01507,ST10,P19,D19,SOUTH,0,8.00000000,1
H01517,ST10,P19,D19,SOUTH,0,8.00000000,1
H01528,ST10,P20,D20,SOUTH,1,8.00000000,1
H01535,ST10,P19,D20,SOUTH,1,8.00000000,1
H01555,ST10,P19,D20,SOUTH,1,8.00000000,1
H01568,ST10,P20,D20,SOUTH,0,8.00000000,1
H01576,ST10,P20,D20,SOUTH,0,8.00000000,1
H01577,ST10,P19,D20,SOUTH,0,8.00000000,1
H01582,ST10,P20,D20,SOUTH,0,8.00000000,1
H01593,ST10,P19,D20,SOUTH,0,8.00000000,1
H01594,ST10,P20,D20,SOUTH,0,8.00000000,1
H01595,ST10,P19,D20,SOUTH,0,64.00000000,1
H01600,ST10,P20,D20,SOUTH,0,8.00000000,1
H01606,ST11,P22,D21,SOUTH,1,8.00000000,1
H01607,ST11,P21,D21,SOUTH,1,64.00000000,1
H01611,ST11,P21,D21,SOUTH,1,8.00000000,1
H01624,ST11,P22,D21,SOUTH,1,64.00000000,1
H01625,ST11,P21,D21,SOUTH,1,8.00000000,1
H01636,ST11,P22,D21,SOUTH,1,8.00000000,1
H01645,ST11,P21,D21,SOUTH,1,8.00000000,1
H01649,ST11,P21,D21,SOUTH,0,8.00000000,1
H01650,ST11,P22,D21,SOUTH,0,8.00000000,1
H01656,ST11,P22,D21,SOUTH,0,8.00000000,1
H01658,ST11,P22,D21,SOUTH,0,8.00000000,1
H01668,ST11,P22,D21,SOUTH,0,8.00000000,1
H01674,ST11,P22,D21,SOUTH,0,8.00000000,1
H01675,ST11,P21,D21,SOUTH,0,8.00000000,1
H01685,ST11,P21,D22,SOUTH,1,64.00000000,1
H01700,ST11,P22,D22,SOUTH,1,8.00000000,1
H01705,ST11,P21,D22,SOUTH,1,8.00000000,1
H01715,ST11,P21,D22,SOUTH,1,8.00000000,1
H01717,ST11,P21,D22,SOUTH,1,64.00000000,1
H01720,ST11,P22,D22,SOUTH,1,8.00000000,1
H01722,ST11,P22,D22,SOUTH,1,64.00000000,1
H01741,ST11,P21,D22,SOUTH,0,8.00000000,1
H01749,ST11,P21,D22,SOUTH,0,8.00000000,1
H01756,ST11,P22,D22,SOUTH,0,8.00000000,1
H01767,ST12,P23,D23,SOUTH,1,64.00000000,1
H01775,ST12,P23,D23,SOUTH,1,64.00000000,1
H01780,ST12,P24,D23,SOUTH,1,8.00000000,1
H01791,ST12,P23,D23,SOUTH,0,8.00000000,1
H01798,ST12,P24,D23,SOUTH,0,8.00000000,1
H01800,ST12,P24,D23,SOUTH,0,8.00000000,1
H01801,ST12,P23,D23,SOUTH,0,8.00000000,1
H01807,ST12,P23,D23,SOUTH,0,8.00000000,1
H01810,ST12,P24,D23,SOUTH,0,8.00000000,1
H01817,ST12,P23,D23,SOUTH,0,8.00000000,1
H01824,ST12,P24,D23,SOUTH,0,8.00000000,1
H01831,ST12,P23,D23,SOUTH,0,8.00000000,1
H01837,ST12,P23,D23,SOUTH,0,8.00000000,1
H01854,ST12,P24,D24,SOUTH,1,64.00000000,1
H01855,ST12,P23,D24,SOUTH,1,64.00000000,1
H01868,ST12,P24,D24,SOUTH,0,8.00000000,1
H01871,ST12,P23,D24,SOUTH,0,8.00000000,1
H01877,ST12,P23,D24,SOUTH,0,8.00000000,1
H01883,ST12,P23,D24,SOUTH,0,8.00000000,1
H01884,ST12,P24,D24,SOUTH,0,8.00000000,1
H01888,ST12,P24,D24,SOUTH,0,8.00000000,1
H01892,ST12,P24,D24,SOUTH,0,8.00000000,1
H01902,ST12,P24,D24,SOUTH,0,8.00000000,1
H01906,ST12,P24,D24,SOUTH,0,8.00000000,1
H01928,ST13,P26,D25,WEST,1,8.00000000,1
H01934,ST13,P26,D25,WEST,1,64.00000000,1
H01936,ST13,P26,D25,WEST,1,64.00000000,1
H01943,ST13,P25,D25,WEST,0,8.00000000,1
H01951,ST13,P25,D25,WEST,0,8.00000000,1
H01955,ST13,P25,D25,WEST,0,8.00000000,1
H01968,ST13,P26,D25,WEST,0,8.00000000,1
H01974,ST13,P26,D25,WEST,0,8.00000000,1
H01978,ST13,P26,D25,WEST,0,8.00000000,1
H01988,ST13,P26,D25,WEST,0,8.00000000,1
H01996,ST13,P26,D25,WEST,0,8.00000000,1
H02005,ST13,P25,D26,WEST,1,64.00000000,1
H02012,ST13,P26,D26,WEST,1,8.00000000,1
H02019,ST13,P25,D26,WEST,1,8.00000000,1
H02020,ST13,P26,D26,WEST,1,64.00000000,1
H02021,ST13,P25,D26,WEST,0,8.00000000,1
H02025,ST13,P25,D26,WEST,0,8.00000000,1
H02033,ST13,P25,D26,WEST,0,8.00000000,1
H02034,ST13,P26,D26,WEST,0,8.00000000,1
H02048,ST13,P26,D26,WEST,0,8.00000000,1
H02053,ST13,P25,D26,WEST,0,8.00000000,1
H02067,ST13,P25,D26,WEST,0,8.00000000,1
H02071,ST13,P25,D26,WEST,0,8.00000000,1
H02077,ST13,P25,D26,WEST,0,8.00000000,1
H02084,ST14,P28,D27,WEST,1,8.00000000,1
H02085,ST14,P27,D27,WEST,1,8.00000000,1
H02088,ST14,P28,D27,WEST,1,8.00000000,1
H02102,ST14,P28,D27,WEST,1,8.00000000,1
H02103,ST14,P27,D27,WEST,1,64.00000000,1
H02109,ST14,P27,D27,WEST,1,64.00000000,1
H02114,ST14,P28,D27,WEST,0,8.00000000,1
H02117,ST14,P27,D27,WEST,0,8.00000000,1
H02120,ST14,P28,D27,WEST,0,8.00000000,1
H02125,ST14,P27,D27,WEST,0,8.00000000,1
H02126,ST14,P28,D27,WEST,0,8.00000000,1
H02130,ST14,P28,D27,WEST,0,8.00000000,1
H02141,ST14,P27,D27,WEST,0,8.00000000,1
H02142,ST14,P28,D27,WEST,0,8.00000000,1
H02158,ST14,P28,D27,WEST,0,8.00000000,1
H02159,ST14,P27,D27,WEST,0,8.00000000,1
H02175,ST14,P27,D28,WEST,1,8.00000000,1
H02185,ST14,P27,D28,WEST,1,64.00000000,1
H02202,ST14,P28,D28,WEST,0,8.00000000,1
H02217,ST14,P27,D28,WEST,0,8.00000000,1
H02227,ST14,P27,D28,WEST,0,8.00000000,1
H02232,ST14,P28,D28,WEST,0,8.00000000,1
H02234,ST14,P28,D28,WEST,0,8.00000000,1
H02239,ST14,P27,D28,WEST,0,8.00000000,1
H02245,ST15,P29,D29,WEST,1,64.00000000,1
H02246,ST15,P30,D29,WEST,1,64.00000000,1
H02249,ST15,P29,D29,WEST,1,8.00000000,1
H02250,ST15,P30,D29,WEST,1,64.00000000,1
H02253,ST15,P29,D29,WEST,1,8.00000000,1
H02258,ST15,P30,D29,WEST,1,64.00000000,1
H02259,ST15,P29,D29,WEST,1,8.00000000,1
H02267,ST15,P29,D29,WEST,1,64.00000000,1
H02272,ST15,P30,D29,WEST,1,8.00000000,1
H02279,ST15,P29,D29,WEST,1,8.00000000,1
H02281,ST15,P29,D29,WEST,1,64.00000000,1
H02316,ST15,P30,D29,WEST,0,8.00000000,1
H02321,ST15,P29,D30,WEST,1,8.00000000,1
H02337,ST15,P29,D30,WEST,1,64.00000000,1
H02348,ST15,P30,D30,WEST,1,8.00000000,1
H02354,ST15,P30,D30,WEST,1,64.00000000,1
H02362,ST15,P30,D30,WEST,1,8.00000000,1
H02381,ST15,P29,D30,WEST,0,8.00000000,1
H02383,ST15,P29,D30,WEST,0,8.00000000,1
H02386,ST15,P30,D30,WEST,0,8.00000000,1
H02390,ST15,P30,D30,WEST,0,8.00000000,1
H02392,ST15,P30,D30,WEST,0,8.00000000,1
H02394,ST15,P30,D30,WEST,0,8.00000000,1
H02395,ST15,P29,D30,WEST,0,8.00000000,1
H02403,ST16,P31,D31,WEST,1,8.00000000,1
H02404,ST16,P32,D31,WEST,1,8.00000000,1
H02412,ST16,P32,D31,WEST,1,8.00000000,1
H02426,ST16,P32,D31,WEST,0,64.00000000,1
H02438,ST16,P32,D31,WEST,0,8.00000000,1
H02448,ST16,P32,D31,WEST,0,8.00000000,1
H02451,ST16,P31,D31,WEST,0,8.00000000,1
H02457,ST16,P31,D31,WEST,0,8.00000000,1
H02476,ST16,P32,D31,WEST,0,8.00000000,1
H02487,ST16,P31,D32,WEST,1,8.00000000,1
H02490,ST16,P32,D32,WEST,1,8.00000000,1
H02494,ST16,P32,D32,WEST,1,64.00000000,1
H02499,ST16,P31,D32,WEST,1,64.00000000,1
H02503,ST16,P31,D32,WEST,0,8.00000000,1
H02505,ST16,P31,D32,WEST,0,8.00000000,1
H02514,ST16,P32,D32,WEST,0,8.00000000,1
H02521,ST16,P31,D32,WEST,0,64.00000000,1
H02522,ST16,P32,D32,WEST,0,8.00000000,1
H02527,ST16,P31,D32,WEST,0,8.00000000,1
H02542,ST16,P32,D32,WEST,0,8.00000000,1
H02545,ST16,P31,D32,WEST,0,8.00000000,1
H02551,ST16,P31,D32,WEST,0,8.00000000,1
H02554,ST16,P32,D32,WEST,0,8.00000000,1
H02557,ST16,P31,D32,WEST,0,8.00000000,1
