hh_id,responded,phase2,y,tenure,interview_domain
H00878,1,1,1.86131573,OWN,D11
H00894,1,1,2.11502066,OWN,D12
H00895,1,1,2.70164018,OWN,D12
H00905,1,1,2.52876849,RENT,D12
H00910,1,1,2.49403886,RENT,D12
H00920,1,1,2.22410014,RENT,D12
H00925,1,1,1.51092543,OWN,D12
H00948,1,1,,RENT,D12
H00949,1,1,1.88400347,RENT,D12
H00950,1,1,1.97931367,OWN,D12
H00954,1,1,,RENT,D12
H00958,1,1,1.89780064,OWN,D12
H00962,1,1,2.59330642,OWN,D13
H00963,1,1,2.38522292,OWN,D13
H00966,1,1,1.94578414,OWN,D13
H00967,1,1,2.66076158,OWN,D13
H00968,1,1,2.42494655,OWN,D13
H00969,1,1,2.77910772,OWN,D13
H00970,1,1,,RENT,D13
H00971,1,1,,RENT,D13
H00982,1,1,2.17663714,OWN,D13
H00983,1,1,2.55350797,RENT,D13
H00994,1,1,2.79553671,RENT,D13
H01013,1,1,,RENT,D13
H01037,1,1,1.37426951,OWN,D13
H01045,1,1,2.67467283,RENT,D14
H01049,1,1,2.53492127,OWN,D14
H01055,1,1,2.36297629,OWN,D14
H01056,1,1,2.62582338,OWN,D14
H01062,1,1,2.34361265,RENT,D14
H01075,1,1,2.75932077,RENT,D14
H01084,1,1,,RENT,D14
H01089,1,1,2.11581142,OWN,D14
H01090,1,1,2.18068850,OWN,D14
H01116,1,1,1.53786728,OWN,D14
H01120,1,1,1.61815203,OWN,D14
H01124,1,1,,RENT,D15
H01133,1,1,1.99277517,OWN,D15
H01134,1,1,2.28628410,OWN,D15
H01148,1,1,,RENT,D15
H01154,1,1,1.59792683,RENT,D15
H01167,1,1,1.89743927,OWN,D15
H01170,1,1,,RENT,D15
H01172,1,1,1.68614494,RENT,D15
H01173,1,1,,RENT,D15
H01175,1,1,1.96243803,RENT,D15
H01177,1,1,,RENT,D15
H01180,1,1,1.32655023,OWN,D15
H01190,1,1,,RENT,D15
H01198,1,1,1.59489516,OWN,D15
H01205,1,1,2.52903717,OWN,D16
H01208,1,1,2.77996092,OWN,D16
H01218,1,1,2.39394150,OWN,D16
H01223,1,1,2.84653334,OWN,D16
H01225,1,1,,RENT,D16
H01247,1,1,1.52403383,OWN,D16
H01259,1,1,2.00144531,RENT,D16
H01277,1,1,,RENT,D16
H01278,1,1,1.21455659,OWN,D16
H01279,1,1,1.93179639,RENT,D16
H01283,1,1,,RENT,D17
H01285,1,1,3.09792087,OWN,D17
H01291,1,1,2.85047586,OWN,D17
H01292,1,1,3.44668389,RENT,D17
H01296,1,1,3.15673089,RENT,D17
H01305,1,1,2.64581241,RENT,D17
H01309,1,1,2.63838550,RENT,D17
H01314,1,1,1.81927744,OWN,D17
H01322,1,1,1.62517966,OWN,D17
H01323,1,1,2.58684006,RENT,D17
H01328,1,1,2.09834815,RENT,D17
H01337,1,1,2.27080978,RENT,D17
H01342,1,1,2.12711934,OWN,D17
H01355,1,1,2.12733805,RENT,D17
H01359,1,1,1.70027842,OWN,D17
H01362,1,1,3.01633287,OWN,D18
H01364,1,1,,RENT,D18
H01388,1,1,,RENT,D18
H01390,1,1,2.01608897,OWN,D18
H01394,1,1,2.42367505,OWN,D18
H01408,1,1,2.05016405,OWN,D18
H01419,1,1,2.05077149,RENT,D18
H01423,1,1,,RENT,D18
H01437,1,1,,RENT,D18
H01453,1,1,3.31419938,OWN,D19
H01454,1,1,2.76760956,OWN,D19
H01455,1,1,2.79238898,OWN,D19
H01457,1,1,3.13519635,RENT,D19
H01463,1,1,2.92816811,OWN,D19
H01464,1,1,3.25414513,RENT,D19
H01466,1,1,2.88688963,OWN,D19
H01482,1,1,2.19016439,OWN,D19
H01500,1,1,2.39357625,OWN,D19
H01507,1,1,1.68797041,OWN,D19
H01514,1,1,2.10895056,OWN,D19
H01527,1,1,3.38234304,RENT,D20
H01529,1,1,,RENT,D20
H01530,1,1,,RENT,D20
H01538,1,1,2.50717683,OWN,D20
H01540,1,1,3.31890117,RENT,D20
H01543,1,1,,RENT,D20
H01557,1,1,,RENT,D20
H01559,1,1,2.01472370,RENT,D20
H01568,1,1,2.70099741,RENT,D20
H01577,1,1,2.00548814,RENT,D20
H01582,1,1,2.12235155,OWN,D20
H01584,1,1,,RENT,D20
H01587,1,1,1.80087293,OWN,D20
H01618,1,1,2.51284223,OWN,D21
H01619,1,1,2.29791602,OWN,D21
H01623,1,1,,RENT,D21
H01624,1,1,2.99774638,RENT,D21
H01632,1,1,2.30277244,OWN,D21
H01647,1,1,2.84864460,RENT,D21
H01649,1,1,,RENT,D21
H01651,1,1,2.20826192,OWN,D21
H01653,1,1,1.79871362,OWN,D21
H01671,1,1,2.37072325,RENT,D21
H01672,1,1,2.06260959,RENT,D21
H01675,1,1,2.17575991,OWN,D21
H01679,1,1,2.28409907,RENT,D21
H01682,1,1,2.73193204,OWN,D22
H01683,1,1,3.05193396,RENT,D22
H01684,1,1,2.63992132,OWN,D22
H01692,1,1,,RENT,D22
H01704,1,1,2.91391503,RENT,D22
H01735,1,1,,OWN,D22
H01738,1,1,1.77356789,RENT,D22
H01739,1,1,2.00340025,OWN,D22
H01742,1,1,2.33602165,RENT,D22
H01752,1,1,2.43451375,RENT,D22
H01754,1,1,1.86267688,OWN,D22
H01767,1,1,2.81662826,OWN,D23
H01770,1,1,2.88537976,OWN,D23
H01780,1,1,2.68452280,OWN,D23
H01787,1,1,2.77245058,RENT,D23
H01792,1,1,1.90725727,OWN,D23
H01801,1,1,2.55602901,RENT,D23
H01816,1,1,2.19820346,OWN,D23
H01824,1,1,2.48282768,RENT,D23
H01833,1,1,2.13481770,OWN,D23
H01846,1,1,,RENT,D24
H01848,1,1,,OWN,D24
H01851,1,1,,RENT,D24
H01862,1,1,2.43945160,OWN,D24
H01867,1,1,2.45698032,RENT,D24
H01870,1,1,2.47273876,RENT,D24
H01875,1,1,1.95023194,OWN,D24
H01877,1,1,1.98428111,OWN,D24
H01890,1,1,,RENT,D24
H01891,1,1,2.30915790,OWN,D24
H01896,1,1,1.95078104,RENT,D24
H01897,1,1,,RENT,D24
H01901,1,1,1.85783953,OWN,D24
H01914,1,1,1.29636650,OWN,D24
H01915,1,1,2.33837188,OWN,D24
H01925,1,1,3.57552093,RENT,D25
H01929,1,1,,RENT,D25
H01933,1,1,3.06158989,OWN,D25
H01935,1,1,3.36503101,OWN,D25
H01940,1,1,3.23794847,RENT,D25
H01942,1,1,2.25863111,OWN,D25
H01949,1,1,,OWN,D25
H01961,1,1,2.42282129,RENT,D25
H01965,1,1,1.99332933,OWN,D25
H01969,1,1,2.66023260,RENT,D25
H01972,1,1,3.03988833,RENT,D25
H01973,1,1,2.16972496,OWN,D25
H01991,1,1,2.34138543,RENT,D25
H01994,1,1,2.18368423,OWN,D25
H02009,1,1,3.55177824,OWN,D26
H02022,1,1,2.67878619,RENT,D26
H02024,1,1,3.09890744,RENT,D26
H02040,1,1,,RENT,D26
H02044,1,1,2.65782114,OWN,D26
H02052,1,1,2.66451258,RENT,D26
H02058,1,1,2.40244666,OWN,D26
H02062,1,1,,RENT,D26
H02064,1,1,2.51651880,OWN,D26
H02079,1,1,2.51896767,OWN,D26
H02081,1,1,3.32524259,OWN,D27
H02083,1,1,3.23060055,RENT,D27
H02085,1,1,,OWN,D27
H02118,1,1,2.26427012,OWN,D27
H02128,1,1,,RENT,D27
H02132,1,1,2.50598255,OWN,D27
H02133,1,1,,RENT,D27
H02137,1,1,1.82399828,OWN,D27
H02146,1,1,,RENT,D27
H02147,1,1,,RENT,D27
H02148,1,1,,RENT,D27
H02165,1,1,3.51742674,OWN,D28
H02166,1,1,3.13844693,OWN,D28
H02169,1,1,3.50502673,OWN,D28
H02171,1,1,3.07354927,OWN,D28
H02174,1,1,,RENT,D28
H02175,1,1,3.24884631,OWN,D28
H02177,1,1,3.41069319,RENT,D28
H02178,1,1,3.48625270,OWN,D28
H02196,1,1,2.26371693,RENT,D28
H02200,1,1,2.53122480,OWN,D28
H02210,1,1,,RENT,D28
H02215,1,1,,RENT,D28
H02238,1,1,2.38366112,OWN,D28
H02247,1,1,,RENT,D29
H02255,1,1,,RENT,D29
H02259,1,1,3.01157080,OWN,D29
H02260,1,1,3.40574208,OWN,D29
H02263,1,1,3.53163363,OWN,D29
H02266,1,1,3.47500331,OWN,D29
H02286,1,1,,OWN,D29
H02289,1,1,,RENT,D29
H02298,1,1,2.54108094,OWN,D29
H02326,1,1,,OWN,D30
H02327,1,1,4.18899534,RENT,D30
H02331,1,1,3.39231841,OWN,D30
H02333,1,1,3.69453186,OWN,D30
H02335,1,1,3.68340663,OWN,D30
H02338,1,1,,RENT,D30
H02343,1,1,3.04511751,OWN,D30
H02347,1,1,,RENT,D30
H02364,1,1,3.89445801,RENT,D30
H02373,1,1,2.08144695,OWN,D30
H02374,1,1,2.43638892,RENT,D30
H02376,1,1,2.23632021,OWN,D30
H02380,1,1,2.36450103,OWN,D30
H02382,1,1,2.15562269,OWN,D30
H02390,1,1,2.80268550,OWN,D30
H02402,1,1,3.64054196,RENT,D31
H02405,1,1,,RENT,D31
H02407,1,1,,OWN,D31
H02422,1,1,,RENT,D31
H02423,1,1,2.14806741,OWN,D31
H02431,1,1,2.08511905,OWN,D31
H02436,1,1,2.19549929,RENT,D31
H02450,1,1,,RENT,D31
H02453,1,1,,RENT,D31
H02459,1,1,,RENT,D31
H02463,1,1,,RENT,D31
H02464,1,1,3.11379153,RENT,D31
H02472,1,1,2.53972785,OWN,D31
H02491,1,1,3.32255273,OWN,D32
H02498,1,1,3.25981435,OWN,D32
H02505,1,1,,RENT,D32
H02508,1,1,,RENT,D32
H02510,1,1,2.17146803,OWN,D32
H02513,1,1,2.33368417,OWN,D32
H02515,1,1,,RENT,D32
H02538,1,1,2.37549947,RENT,D32
H02545,1,1,2.52532679,OWN,D32
H02546,1,1,,RENT,D32
H02554,1,1,2.40659205,OWN,D32
